,user_id,action,time,post_id,comment_id,reply_comment_id,comment
0,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587732108.358912,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
1,xCERWVCZU9c7O9ngVpnhtk1o66g2,comment_post,1587732116.1039407,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,sv7C39Ju69duz86,,hmm
2,user6,comment_post,1587732139.9173145,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,cnCDKcngpIdfDSi,,yes siryes siryes siryes siryes sir
3,abc,comment_post,1587732555.2944973,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,MXPuEXXDGapjlAC,,
4,abc,comment_post,1587732558.7330387,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,eqkwYLr7sDzf9nR,,yes siryes siryes sir
5,user6,comment_post,1587732572.6803935,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,w1gehcKHAjtjt37,,yes siryes siryes siryes siryes siryes siryes sir
6,abc,like_comment_post,1587732713.6070905,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,sv7C39Ju69duz86,,
7,abc,like_comment_post,1587732714.8959973,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,sv7C39Ju69duz86,,
8,abc,like_comment_post,1587732715.9695065,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,sv7C39Ju69duz86,,
9,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734541.9237664,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
10,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734692.6785734,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
11,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734711.5314689,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
12,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734772.0564446,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
13,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734941.263633,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
14,xCERWVCZU9c7O9ngVpnhtk1o66g2,comment_post,1587734951.4177384,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,X1oOFvKIdwRgtQX,,dfsdfsadf
15,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587734955.671073,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
16,xCERWVCZU9c7O9ngVpnhtk1o66g2,view_post,1587735171.0461116,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,,,
17,xCERWVCZU9c7O9ngVpnhtk1o66g2,comment_post,1587735176.9407895,https://www.wsj.com/articles/senior-mexican-health-official-questions-how-deadly-coronavirus-really-is-11587133043,DeTKpzZGMSUUFoo,,gdfgdfg
